ID,Invitado,Job Title,Podcast,quote,Topics,Grabado desde País,Grabado desde Ciudad,Slider,Date created,AppelPodcast,spotify
48,CiudadHub,Podcast de las Ciudades,"Siglo XXI, el siglo de las ciudades",,"Urbanismo, Internacionalización, Gobernanza",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000364882952,https://open.spotify.com/episode/4Z3VJD1qmQaLYPthXUsJGK?si=NmIPPON5T7iLvLzGUjkx8g
49,Ugo Valenti,Smart City Expo World Congress Director,"Pasado, presente y futuro de las Smart Cities",,"Smart Cities, Innovación, Internacionalización",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000390366026,https://open.spotify.com/episode/6jOdeOCD0bJBDBKq7itjsi?si=NNqb7tNJQaOQVOPvD1hoFA
50,Rosa Suriñach,Partnerships & Communications ONU Habitat,La ciudad como solución: nueva agenda urbana,,"Internacionalización, Urbanismo, Gobernanza",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000389710855,https://open.spotify.com/episode/11PNrE1JmXGQEparJ4WTJY?si=fP6tlMxcTCmkFebTKjbeFw
51,Miguel Rodríguez Planas,Manager -Public-Private Sector Research Center (PPSRC) de IESE,"Bikesharing: dos ruedas, dos modelos",,"Movilidad, Bicicleta, Innovación",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000444074888,https://open.spotify.com/episode/6nkVuCX2uCsT1cofkms5pT?si=hZ8ZubAWQ3axlDM-bo9C9A
52,Mariola Panzuela,Transport Network Manager | C40 Cities,C40: red de ciudades para el desarrollo sostenible,,"Sostenibilidad, Internacionalización, Movilidad",España,Barcelona,FALSE,2017-03-03,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000424333818,https://open.spotify.com/episode/5BRuS1OrzozQwNf40S89H7?si=PBKsdRTFTa2mMk-7LkEpiA
53,Luis Gómez,Director de Sectores Estratégicos del Ayuntamiento de Barcelona,Las ciudades tienen que reinventar la gestión,,"Gobernanza, Urbanismo, Innovación",España,Barcelona,FALSE,2022-03-26,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000430009425,https://open.spotify.com/episode/3re7QKcZoKB6sSHqfIpRHK?si=FN30RI_cS0WOcdBI5ac-bg
54,Sara Ortiz,Urban Planner and Sociologist at Col·lectiu Punt 6 SCCL,Urbanismo feminista: visibilizando lo cotidiano,,"Urbanismo, Equidad, Espacio Público",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000456267503,https://open.spotify.com/episode/3agxERa8JqWMt58gnFobAb?si=i1wU8IvgR2yHJuZbyXY-Dg
55,Alvaro Nicolás,Asesor de la Regidora de Movilidad del Ayuntamiento de Barcelona,Bicicletas públicas,,"Movilidad, Bicicleta, Urbanismo",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000370329334,https://open.spotify.com/episode/6rojS0lPtV8xOQ1FLNOa4F?si=3uFJ5TJ6TASUEFQ5BrHELQ
56,Pilar Conesa,CEO de Anteverti - Curadora del SCEWC Barcelona,Smart Cities: una visión global de un concepto en evolución,,"Smart Cities, Innovación, Internacionalización",España,Barcelona,FALSE,2023-05-04,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000422228583,https://open.spotify.com/episode/7lqyI9aKlOdVknTI9bjSkl?si=EDibtLolRrqr9j_jlOAmhQ
57,Esteban León,Coordinador del Programa de Resiliencia Urbana de UNHabitat,Ciudades Resilientes: estar en forma es la mejor defensa,,"Gobernanza, Resiliencia, Urbanismo",España,Barcelona,FALSE,2020-07-10,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000400805736,https://open.spotify.com/episode/4zbEwwemnm2m1L2FZX3Ytg?si=33lpewcHTQq2d2IbK9laAA
58,Alvaro Porro González,"Comisionado de Economía Social, Desarrollo Local y Política Alimentaria, Ajuntament de Barcelona","Alimentación, salud y política urbana","Tendemos a pensar en el mundo rural cuando pensamos en las políticas alimentarias, porque allí se produce el alimento. Pero no podemos olvidar que donde se consume y se comercializa la mayor parte son las ciudades. Más de la mitad de la humanidad vive en ciudades. Si queremos transformar el modelo agroalimentario, no puede ocurrir si las ciudades no se implican.","Salud, Innovación, Gobernanza",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000466763821,https://open.spotify.com/episode/5gA3TsP4fCOknlcik2fHTO?si=61FtpWprTU-_Bs8kWODwzA
59,Josep Ferrer,"Ex-Director de Smart City y CIO de Barcelona (2012-15), Director Desarrollo Internacional DOXA",Smart Cities: esto va de personas,,"Smart Cities, Internacionalización, Gobernanza",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000377535590,https://open.spotify.com/episode/3ahQufWmaJKAXNZgudvwda?si=icZ8lrQsTxmi2Mf1Vg1PhA
60,Silvia Casorrán,"Specialist Sustainable Mobility, head of bicycle projects Metropolitan Area of Barcelona","Conexión de áreas metropolitanas, en bici",,"Movilidad, Urbanismo, Metrópolis",España,Barcelona,FALSE,2019-01-01,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000412305094,https://open.spotify.com/episode/0IqgenJIV0swhwcDiSbiZi?si=vZJP1ZgJQnK1jzJCc1eISg
61,Genis Arnàs Páez,Director del servicio de mercados del Instituto Municipal de Mercados de Barcelona,Mercados Urbanos: una tradición centenaria en las ciudades,,"Espacio Público, Mercados, Urbanismo",España,Barcelona,FALSE,2021-05-06,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000397479938,https://open.spotify.com/episode/3RUMmKQKEXsBbbzJ4mIWKQ?si=7a2_U90ZQLitFCOJz2cbzg
62,Verónica Kuchinow,CEO SÍMBIOSY. Curadora del Circular Economy European Summit,La simbiosis industrial: nuevo paradigma económico,,"Sostenibilidad, Innovación, Desarrollo",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000372447037,https://open.spotify.com/episode/1SqjZBVsNh1gHgSQSS218E?si=https://open.spotify.com/episode/1SqjZBVsNh1gHgSQSS218E?si=liIOKFXOQESjtiebWpAAqA
63,Salvador Rueda,"Ecólogo urbano. Fundador de la Agencia de Ecología Urbana, Barcelona.",Supermanzanas: urbanismo para los ciudadanos,,"Sostenibilidad, Urbanismo, Espacio Público",España,Barcelona,FALSE,2023-03-03,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000426785691,https://open.spotify.com/episode/0HsygrTj2vuW8iu5AZQiR4?si=WbIwOpHyR1mfcQHBQXMyBQ
64,Isabelle Anguelovski,Directora del Barcelona Lab for Urban Environmental Justice and Sustainability,"Privilegios ambientales, una nueva forma de desigualdad",,"Sostenibilidad, Equidad, Urbanismo",España,Madrid,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000452560984,https://open.spotify.com/episode/6ER1GtySs7KSiLzFj7kG0g?si=pyZe0zEJQYqDmmjCOqcpPw
65,Jordi Hereu,Ex-Alcalde de Barcelona - CEO IdentiCity,La ciudad como proyecto,"Para mí la ciudad más smart, más inteligente, es la que es la expresión de un proyecto colectivo de sus ciudadanos, sobre la que después utilizamos como gran instrumento la tecnología.","Gobernanza, Urbanismo, Innovación",España,Barcelona,TRUE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000407391334,https://open.spotify.com/episode/1O9k9RJSb5ndxwJLXeT3ZA?si=A-cteR-7T4us74HRH-EXEQ
66,Elvis García,Doctor en Salud Pública. Harvard University,Urbanismo y salud: el Covid es un síntoma,,"Urbanismo, Salud, Resiliencia",EEUU,Miami,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000482574229,https://open.spotify.com/episode/5pn3fgwv4LPehFCk6irDe8?si=LenO0wlxRfyykYfbaF9gfA
67,Sergio Vinitsky,"Fundador Smart Cities Institute, Israel","Israel, Start-Up Nation",,"Smart Cities, Innovación, Gov-Tech",Israel,Tel Aviv,FALSE,2022-03-16,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000503802297,https://open.spotify.com/episode/2tI1gLIBuvyMoRIHrZJE0X?si=FGBFrvc8TXOqXwz1hHxZcw
68,Mónica Taher,Technological & Economic International Affairs at Trade & Investments Secretariat - El Salvador’s Government,El Salvador: el cambio va de la mano de la tecnología,,"Smart Cities, Gov-Tech, Digitalización",España,Barcelona,FALSE,2022-10-27,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000506524995,https://open.spotify.com/episode/5NrpJkrxfpoJBRkimtxtbc?si=5MpniOKfSZSH0K8M4bf8pQ
69,Luis Herrera Favela,"City Prosperity Initiative, UN-Habitat","City Prosperity Initiative, UN-Habitat",,"Internacionalización, Urbanismo, Desarrollo",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000507372571,https://open.spotify.com/episode/0gj9tmYtCXM1bfpg5ExebE?si=PjOMnAoIQ6yOH-fmplYZ3g
70,Gabriel Lanfranchi,Director Ciudades CIPPEC,"Nuevos problemas, nuevas competencias",,"Gobernanza, Metrópolis, Innovación",Argentina,Buenos Aires,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000443424811,https://open.spotify.com/episode/5Rrcu8okMIQF7j10Nc1EDO?si=W4nHSCDOTkqx5e1TiG03gQ
71,Octavi de la Varga Mas,Metropolis Secretary General,"Metrópolis, el desafío de la escala humana",,"Movilidad, Urbanismo, Metrópolis",España,Barcelona,FALSE,2022-07-03,https://podcasts.apple.com/us/podcast/metrópolis-el-desaf%C3%ADo-de-la-escala-humana/id1093603743?i=1000516989505,https://open.spotify.com/episode/5eD8VV5ZNJDXUUxCQEDyx7?si=j24Lm1W1TXufmd4hw2ymxQ
72,Carles Benito,Presidente Bicicleta Club de Catalunya,La bici vino para quedarse,"Cuando miras una sociedad, si miras cómo se mueve, te puede decir muchas pistas sobre cómo es esa sociedad. Cuando te subís a una bicicleta lo acabás entendiendo todo un poco. Es como que abrís los ojos a tu entorno, a tu vida, y empezás a desbloquear elementos que en tiempos de crisis climática y tantas malas noticias, uno necesitaba desbloquear.","Movilidad, Bicicleta, Urbanismo",España,Barcelona,FALSE,2021-05-06,https://podcasts.apple.com/us/podcast/la-bici-vino-para-quedarse/id1093603743?i=1000519737149,https://open.spotify.com/episode/43yWoqo8HKAM8SMbLb9nsF?si=WJlkhHv-RVqOkg3G1MOsfg
73,Federico Bervejillo,"Catedrático de Urbanismo, Ambiente y Paisaje de la Universidad ORT en Uruguay",Urbanistas: integradores en clave espacial,,"Urbanismo, Metrópolis, Gobernanza",Uruguay,Montevideo,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000523565982,https://open.spotify.com/episode/2BT8vECE0h3sFQoeiA02Nu?si=Dylg8ID4SPSa_n997DRrOA
74,Melisa Breda,"Subsecretaria de Políticas Públicas basadas en Evidencia, Ciudad de Buenos Aires",Buenos Aires: Un elefante ágil,,"Gobernanza, Innovación, Datos",Argentina,Buenos Aires,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000527175980,https://www.spreaker.com/episode/45482121
75,Agustín Suárez,Subsecretario de Ciudad Inteligente,Boti: Una experiencia ciudadana,"Los documentos hoy los centraliza el gobierno, pero son de las personas. La idea es que si un chico necesita una partida de nacimiento para anotarse en el colegio, no tenga que ir al registro civil, hacer la fila, y llevar un papel de una oficina de gobierno a otra. Si la partida está asociada a tu identidad digital, se la facilitamos en una carpeta y desde ahí la podés compartir.","Datos, Digitalización, Gobernanza",Argentina,Buenos Aires,FALSE,2022-03-07,https://podcasts.apple.com/us/podcast/boti-una-experiencia-ciudadana/id1093603743?i=1000552154833,https://open.spotify.com/episode/6Q7cWs225sNUpUiZZZc5y8?si=lAqsYByDTLypokzJIRkIFg
76,Diana Maria Parra Romero,Subsecretaria de Politicas de Igualdad de Bogotá,Ciudades cuidadoras,,"Equidad, Gobernanza, Desarrollo",Colombia,Bogotá,FALSE,2022-03-07,https://podcasts.apple.com/us/podcast/bogot%C3%A1-una-ciudad-cuidadora/id1093603743?i=1000535344330,https://open.spotify.com/episode/1dqU6pFBnhGbbn0zUihYrg?si=WD1AUwB_RiyI6h-wH0oAbQ
77,Javier Creus,Fundador & Director de estrategia de Ideas for Change,Ciudadanía 3.0,,"Gobernanza, Digitalización, Innovación",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/us/podcast/ciudadanos-3-0/id1093603743?i=1000543315413,https://open.spotify.com/episode/7nwVHZOwNI9eZZuv26jLxY?si=Vrf-jHONRzKhZNO-aG52BQ
78,Sarah Williams,Director of the Civic Data Design Lab @ MIT - Author: Data Action,Data for public good in metropolitan areas,,"Datos, Movilidad, Innovación",EEUU,Boston,FALSE,2023-01-01,https://podcasts.apple.com/us/podcast/data-for-public-good-in-metropolitan-areas/id1093603743?i=1000531225243,https://open.spotify.com/episode/4QB2GcFmBTeMx2gUapfzOu?si=ba5ea84e7bb24ff1
79,Edgardo Bilsky,Director de investigación del Secretariado Mundial de Ciudades y Gobiernos Locales Unidos (CGLU),"Desigualdad urbana, un reto del presente",,"Equidad, Gobernanza, Desarrollo",México,Guadalajara,FALSE,2020-07-02,https://podcasts.apple.com/us/podcast/desigualdad-urbana-un-reto-del-presente/id1093603743?i=1000554144936,https://open.spotify.com/episode/1foxnB7UI2i8GZURNV7MFL?si=TfVyF7jDS92sOUtg-NoX8A
80,Lorena Zárate,Founder Global Platform for the Right to the City,El derecho a la ciudad,,"Equidad, Gobernanza, Urbanismo",Canada,Ottawa,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000555322146,https://open.spotify.com/episode/1588LsqOMi6rWcKJ3iOqBb?si=6eafae54e0d6445c
81,Fernando García,Alcalde de la Bici en Madrid,Alcaldes de la bicicleta: Madrid,,"Movilidad, Bicicleta, Urbanismo",España,Madrid,FALSE,2021-05-31,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000558173519,https://open.spotify.com/episode/4DAdVvq3CUOKPH5GuXwwHf?si=8ef44125b0f34ae1
82,Martin Yeza,Intendente de Pinamar,Pinamar: la reinvención del mar,Hay ciudades que ganan dinero mientras se degradan. Pinamar era una de ellas: cinco intendentes destituidos por corrupción en siete años. Fue entonces cuando los vecinos eligieron a alguien de 29 años que nunca había gobernado nada. Lo que encontró no era solo una crisis institucional: era una ciudad que había dejado de creer en sí misma.,"Espacio Público, Desarrollo, Gobernanza",Argentina,Pinamar,TRUE,2020-07-02,https://podcasts.apple.com/us/podcast/pinamar-la-reinvenci%C3%B3n-del-mar/id1093603743?i=1000568666714,https://open.spotify.com/episode/2PpNRwrTz4dhYO9YvdUsPf?si=AgYrB_t-QYW08G1FP5X4JQ
83,Nicolás Galarza,Viceministro de Ambiente de Colombia,"La expansión urbana, una aliada de la biodiversidad.",,"Sostenibilidad, Equidad, Urbanismo",Colombia,Bogotá,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000567274033,https://open.spotify.com/episode/3zYpHdC4okzY0n0eYVeQUQ?si=s-4aEX5JQSOs4ZF3jtHDqQ
84,Agustí Fernández de Losada,Director del programa Ciudades Globales (CIDOB),Ciudades globales en un mundo desglobalizado,"Las grandes ciudades se están convirtiendo en focos de resistencia ante el autoritarismo y el nacionalismo excluyente. Cuando Estados Unidos salió de los acuerdos de París, Nueva York, Chicago y Los Ángeles se mantuvieron. Las capitales de Hungría, Polonia y Turquía contraponiendo la lógica de sus propios gobiernos. La reacción es muy urbana.","Internacionalización, Gobernanza, Urbanismo",España,Barcelona,TRUE,2022-08-04,https://podcasts.apple.com/ca/podcast/ciudades-globales-en-un-mundo-desglobalizado/id1093603743?i=1000571151410,https://open.spotify.com/episode/0xMm1L5RS0GTH84bEO5BHb?si=edc7bc4c55f64cd9
85,Mireia Piqueras,Vocal del proyecto Bicibus Barcelona,A la escuela en Bicibus!,,"Movilidad, Bicicleta, Equidad",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/ca/podcast/ciudad-hubs-tracks/id1093603743?i=1000583584745,https://open.spotify.com/episode/3gruPqplDXneqNNqnPfne1?si=HRWrVxwwQOm97TnjoO0-PA
86,Pedro Espondaburu,"Docente Innovación y Desarrollo. Ciencias Económicas Unicen. Tandil, Argentina","Tandil, un modelo inspirador",,"Innovación, Desarrollo, Gobernanza",Argentina,Tandil,FALSE,2020-07-02,https://podcasts.apple.com/us/podcast/tandil-un-modelo-inspirador/id1093603743?i=1000611751709,https://open.spotify.com/episode/0UwM9c3P8ns6iQsy6KXZn4?si=bHJ-BC06TkSoIamY_-lHCw
87,Diana Celis,"Consultora en Proyectos de TIC, Ciudades y Territorios Inteligentes",Smart City: Modelo Latam,Los mandatarios de nuestras ciudades no son expertos en todo. Y uno no puede ir a un supermercado a comprar semáforos inteligentes.,"Smart Cities, Gov-Tech, Innovación",Colombia,Bogotá,FALSE,2023-05-15,https://podcasts.apple.com/us/podcast/smart-cities-el-modelo-latam/id1093603743?i=1000610928223,https://open.spotify.com/episode/6NLH0YWOwvXdT8mhcvX4hf?si=kmEd_ekNRyqMkgtdgbJxPQ
88,Xavi Matilla,"Urbanista, profesor ETSAV-UPC. Arquitecte en Cap de Barcelona (2019-2023)",De las estrategias a los cambios reales,Nunca puedes esperar a tener un consenso total para empezar un proyecto de transformación. Hay que empezarlo asumiendo que habrá conflictividad.,"Urbanismo, Gobernanza, Espacio Público",España,Barcelona,FALSE,2020-07-02,https://podcasts.apple.com/us/podcast/de-las-estrategias-a-los-cambios-reales/id1093603743?i=1000663958522,https://open.spotify.com/episode/2MQlLEIBbRItptpnud4DRY?si=15ad593618824460
